Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ownership_Type,Building_Age_Years,Last_Renovation_Years_Ago,Number_of_Floors,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Door_Width_cm,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Staff_Trained_Accessibility,Multilingual_Signage,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,Staff_Count,Budget_Allocated_Lakh_INR,Complaint_Resolution_Days,Accessibility_Complaints,User_Rating,Google_Maps_Rating,Last_Inspection_Months,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority,Infrastructure_Score,Accessibility_Support_Score,Safety_Index,Facility_Score,Crowd_Risk,Complaint_Rate,Accessibility_Efficiency
LOC0012,Ahmedabad City Centre Mall,5,0,5,23.088633,72.57839,0,24,18.0,2,0,1,1,0,0,1,0,1,85.6,0,0,2,1,0,1,1,0,0,6.0,12487,51.0,155.9,15.0,5,3.0,3.1,19.0,1,1,62.7,Average,Medium,4,0,3,1,0.0,0.00040038436899423447,8.957142857142857
LOC0013,Thane Domestic Airport,0,22,9,19.202487,73.041967,0,24,18.0,3,1,1,1,0,0,1,1,1,85.6,0,2,1,1,1,0,1,1,2,15.0,8697,39.0,280.5,1.0,1,3.2,2.8,1.0,1,1,74.3,Average,Medium,5,1,4,2,30.0,0.00011496895838123707,4.64375
LOC0014,Guwahati City Centre Mall,5,7,1,26.136602,91.816573,0,17,11.0,2,1,1,1,1,0,0,0,1,94.7,0,0,2,1,1,0,1,1,2,8.0,6422,25.0,122.2,10.0,3,3.5,3.3,23.0,0,2,88.6,Good,Low,4,1,3,2,16.0,0.00046707146193367583,9.844444444444443
LOC0015,Chandigarh Government College,2,3,3,30.780215,76.815672,1,65,17.0,2,1,0,0,1,0,0,1,1,81.2,0,1,2,1,1,0,1,1,1,14.0,608,2.0,43.6,18.0,6,1.5,1.6,23.0,1,0,56.7,Average,Medium,2,2,4,2,14.0,0.009852216748768473,3.7800000000000002
LOC0016,Bengaluru Botanical Garden,8,1,6,13.107607,77.710459,1,33,7.0,1,0,0,0,0,0,0,0,0,78.5,2,2,2,1,0,1,0,1,1,11.0,2526,13.0,29.3,18.0,5,3.1,3.2,3.0,1,1,28.2,Poor,High,0,0,5,1,11.0,0.0019786307874950534,2.35
LOC0017,Nagpur City Hospital,4,17,9,21.235647,79.144099,0,49,12.0,5,1,1,0,1,0,1,0,0,81.3,0,2,0,1,1,0,0,1,0,37.0,1708,17.0,101.1,13.0,1,4.2,4.0,15.0,1,1,75.7,Good,Medium,3,1,3,1,0.0,0.0005851375073142189,1.9921052631578948
LOC0018,Jaipur Collectorate Office,3,10,10,26.903186,75.895266,1,29,11.0,2,1,1,1,1,1,0,0,0,99.1,2,1,2,0,0,0,1,1,0,35.0,4778,19.0,44.6,14.0,6,3.5,3.5,17.0,1,2,77.4,Good,Medium,3,2,3,2,0.0,0.0012554927809165098,2.1500000000000004
LOC0019,Lucknow City Hospital,4,14,13,26.982773,80.970022,0,33,17.0,6,1,0,1,1,0,1,1,0,92.5,1,0,2,1,1,0,0,1,2,10.0,3885,27.0,120.3,13.0,2,3.8,3.3,2.0,1,2,95.1,Excellent,Low,3,2,3,1,20.0,0.000514668039114771,8.645454545454545
LOC0020,Jaipur Junction,7,10,10,26.783452,75.688684,1,84,33.0,3,0,1,1,0,0,1,0,1,87.3,0,1,0,0,1,0,1,1,2,7.0,19507,71.0,118.6,16.0,2,3.5,4.0,19.0,0,1,72.1,Average,Low,4,0,1,2,14.0,0.0001025220422390814,9.0125
LOC0021,Chandigarh Public Garden,6,3,3,30.705304,76.895537,1,28,22.0,1,1,0,0,0,1,0,0,1,72.8,0,2,0,0,0,1,0,1,0,10.0,908,2.0,19.3,19.0,10,2.6,2.4,14.0,1,0,35.3,Poor,High,2,1,2,1,0.0,0.011001100110011002,3.209090909090909
LOC0022,Hyderabad Collectorate Office,3,8,12,17.517063,78.458467,1,63,17.0,1,0,0,1,1,0,0,0,0,80.1,0,0,0,1,1,0,1,0,1,39.0,2516,9.0,30.0,14.0,6,2.5,2.3,16.0,1,0,51.0,Poor,Medium,1,1,1,1,39.0,0.0023837902264600714,1.275
LOC0023,Coimbatore Medical Center,4,5,11,10.942864,76.86589,1,14,13.0,2,0,0,1,0,0,0,1,1,85.3,1,1,1,1,1,0,1,1,2,12.0,4587,20.0,84.1,17.0,2,4.9,5.0,10.0,1,2,73.8,Average,Medium,2,1,3,2,24.0,0.00043591979075850045,5.676923076923076
LOC0024,Mumbai Lake View Point,8,15,9,18.963849,72.917664,1,45,9.0,1,1,1,0,0,0,0,1,1,82.4,2,1,0,1,0,0,0,1,2,20.0,1139,3.0,25.1,18.0,6,2.1,2.1,19.0,0,2,64.4,Average,Medium,3,1,2,1,40.0,0.005263157894736842,3.066666666666667
LOC0025,Indore Government College,2,9,8,22.720371,75.968356,0,63,27.0,1,0,1,1,0,0,1,0,0,85.9,2,0,1,1,0,0,1,1,2,9.0,4726,23.0,62.8,17.0,3,1.9,1.8,5.0,1,2,47.3,Poor,High,3,0,2,2,18.0,0.0006346519991537973,4.7299999999999995
LOC0026,Indore Bus Depot,1,9,8,22.73162,75.822143,1,2,2.0,1,1,0,0,0,0,0,0,0,87.2,2,0,2,1,0,0,1,0,2,3.0,2527,9.0,17.7,20.0,9,1.3,1.5,14.0,1,1,33.9,Poor,High,1,0,3,1,6.0,0.003560126582278481,8.475
LOC0027,Nashik Central Station,7,18,9,19.885264,73.678257,1,33,23.0,1,1,1,1,1,0,0,0,1,103.2,2,0,1,0,0,0,1,0,2,25.0,15951,64.0,102.9,8.0,2,1.5,1.4,13.0,1,1,60.3,Average,Medium,4,1,1,1,50.0,0.00012537612838515547,2.319230769230769
LOC0028,Thane Lake View Point,8,22,9,19.209888,73.005831,0,25,10.0,1,1,1,1,0,0,0,0,0,103.5,2,0,2,1,0,0,0,1,2,14.0,2452,8.0,25.3,13.0,4,3.1,3.7,4.0,0,0,55.8,Average,Medium,3,0,3,1,28.0,0.0016306563391765185,3.7199999999999998
LOC0029,Nashik Museum,8,18,9,19.856511,73.93816,0,86,26.0,1,0,1,1,0,0,0,0,0,80.2,2,0,1,0,1,0,0,1,1,8.0,338,5.0,14.4,27.0,6,2.3,2.1,21.0,2,1,25.7,Poor,High,2,0,1,1,8.0,0.017699115044247787,2.8555555555555556
LOC0030,Patna General Hospital,4,19,2,25.473278,85.249652,1,18,14.0,5,1,1,1,1,1,1,0,0,95.4,0,0,0,1,1,1,0,1,1,8.0,4411,22.0,71.7,9.0,2,3.2,3.0,11.0,1,2,100.0,Excellent,Low,4,2,1,1,8.0,0.00045330915684496827,11.11111111111111
LOC0031,Thiruvananthapuram Public Garden,6,23,7,8.585943,76.927866,1,45,9.0,1,1,1,0,1,0,0,0,1,81.4,2,0,0,0,1,0,0,1,1,7.0,2344,8.0,20.7,17.0,4,3.0,3.3,8.0,0,2,72.5,Average,Medium,3,1,0,1,7.0,0.0017057569296375266,9.0625
LOC0032,Nashik Museum,8,18,9,19.943527,73.917924,0,113,19.0,1,0,0,0,0,0,0,1,0,75.6,2,2,1,0,0,1,0,0,1,4.0,2980,17.0,33.2,24.0,9,1.8,2.0,6.0,1,0,1.2,Poor,High,0,1,3,0,4.0,0.0030191211003019122,0.24
LOC0033,Mumbai General Hospital,4,15,9,19.127555,72.947642,0,37,24.0,4,1,1,0,0,0,1,1,0,80.5,0,0,1,1,0,1,0,1,0,17.0,4401,28.0,123.9,18.0,7,2.4,2.4,11.0,1,2,59.9,Average,High,3,1,2,1,0.0,0.0015901862789641072,3.3277777777777775
LOC0034,Jaipur City Hospital,4,10,10,26.846755,75.70993,0,56,11.0,6,0,1,1,0,1,0,0,0,86.7,2,1,2,0,1,0,0,0,1,18.0,4266,24.0,128.1,13.0,4,3.7,3.8,12.0,0,1,56.1,Average,Medium,2,1,3,0,18.0,0.0009374267635340989,2.9526315789473685
LOC0035,Jaipur Bus Stand,1,10,10,26.980163,75.776539,1,10,8.0,1,0,0,0,0,1,0,0,0,78.4,2,0,1,0,0,0,1,0,2,15.0,1925,5.0,14.9,17.0,2,2.4,1.8,19.0,1,1,26.8,Poor,High,0,1,1,1,30.0,0.0010384215991692627,1.675
LOC0036,Mumbai Heritage Fort,8,15,9,19.11208,72.765811,1,25,9.0,1,0,1,1,0,0,0,0,0,82.3,1,0,1,1,0,0,1,0,0,16.0,779,2.0,13.9,25.0,6,1.7,1.7,10.0,2,1,41.3,Poor,High,2,0,2,1,0.0,0.007692307692307693,2.429411764705882
LOC0037,Mysuru Public Garden,6,16,6,12.347728,76.628697,1,34,9.0,1,1,1,0,1,0,0,0,0,76.7,2,0,1,0,1,0,0,0,2,9.0,2062,10.0,17.7,19.0,7,1.2,1.9,0.0,1,0,39.1,Poor,High,2,1,1,0,18.0,0.0033931168201648087,3.91
LOC0038,Indore Museum,8,9,8,22.722284,75.946983,1,174,40.0,1,1,0,0,0,0,0,0,1,69.1,1,0,2,0,0,0,1,1,0,14.0,1745,13.0,27.3,20.0,6,1.4,1.6,21.0,1,2,44.2,Poor,High,2,0,2,2,0.0,0.003436426116838488,2.9466666666666668
LOC0039,Guwahati Central Park,6,7,1,26.190142,91.724545,0,6,2.0,1,0,0,0,0,0,0,0,1,91.0,2,2,1,1,1,1,1,1,1,10.0,2736,5.0,24.6,23.0,1,3.1,3.2,12.0,1,0,29.2,Poor,High,1,0,4,2,10.0,0.00036536353671903543,2.6545454545454543
LOC0040,Coimbatore Collectorate Office,3,5,11,10.898379,76.860026,1,61,25.0,1,0,0,1,1,0,0,0,0,86.8,1,2,2,1,0,0,1,1,0,7.0,4769,15.0,39.9,31.0,9,2.3,2.5,15.0,1,2,43.3,Poor,High,1,1,5,2,0.0,0.0018867924528301887,5.4125
LOC0041,Bengaluru Municipal Office,3,1,6,12.946058,77.541109,1,33,12.0,1,0,0,0,0,0,1,0,0,67.7,2,2,2,1,1,0,1,1,0,6.0,965,3.0,40.8,10.0,10,1.7,1.7,11.0,1,0,14.0,Poor,High,1,0,5,2,0.0,0.010351966873706004,2.0
LOC0042,Ahmedabad City Hospital,4,0,5,22.896284,72.516077,0,19,14.0,6,1,0,0,0,0,1,0,0,77.2,0,1,0,1,1,1,1,1,2,16.0,1691,11.0,67.2,18.0,5,2.4,2.6,6.0,1,1,69.4,Average,Medium,2,0,2,2,32.0,0.002955082742316785,4.082352941176471
LOC0043,Delhi Airport Terminal,0,6,4,28.763876,77.028837,0,17,7.0,3,1,1,1,1,0,0,1,1,93.2,0,0,0,1,1,1,1,1,0,19.0,3337,14.0,149.3,6.0,3,3.1,2.9,17.0,1,1,96.4,Excellent,Low,4,2,1,2,0.0,0.0008987417615338526,4.82
LOC0044,Indore College of Engineering,2,9,8,22.581189,75.843363,0,33,19.0,2,1,1,1,1,0,0,1,1,97.6,1,1,2,1,1,0,0,0,0,18.0,1852,9.0,39.7,13.0,3,3.2,3.2,0.0,1,1,98.3,Excellent,Medium,4,2,4,0,0.0,0.0016189962223421479,5.173684210526315
LOC0045,Bengaluru Heritage Fort,8,1,6,13.032884,77.493142,1,98,33.0,1,1,1,0,0,0,0,0,0,79.6,0,2,0,1,0,0,1,1,1,15.0,2548,5.0,19.6,17.0,8,1.6,1.6,12.0,2,1,43.1,Poor,High,2,0,3,2,15.0,0.003138485680659082,2.69375
LOC0046,Chennai Central Station,7,4,11,13.213786,80.243536,1,81,24.0,3,1,0,0,0,0,1,1,0,80.4,0,1,1,1,0,1,1,1,0,11.0,4751,21.0,66.3,23.0,9,3.0,2.8,8.0,1,0,39.4,Poor,High,2,1,3,2,0.0,0.001893939393939394,3.283333333333333
LOC0047,Thane Government College,2,22,9,19.127177,72.841063,0,27,10.0,3,1,0,1,1,0,1,0,0,95.3,0,0,0,1,0,0,0,1,0,36.0,3173,17.0,65.7,21.0,7,2.1,2.2,20.0,1,0,60.6,Average,Medium,3,1,1,1,0.0,0.002205419029615627,1.637837837837838
LOC0048,Visakhapatnam Medical Center,4,25,0,17.750082,83.361663,0,25,9.0,5,1,0,0,1,0,1,1,0,88.4,2,0,2,0,0,1,1,0,0,6.0,875,17.0,106.1,9.0,3,2.8,3.0,9.0,1,2,60.0,Average,Medium,2,2,2,1,0.0,0.003424657534246575,8.571428571428571
LOC0049,Kochi Plaza Mall,5,12,7,9.91109,76.331257,0,21,13.0,7,0,0,0,1,0,0,1,1,75.5,0,0,0,1,1,1,1,1,2,35.0,6312,30.0,162.2,7.0,3,3.7,3.8,6.0,1,1,72.4,Average,Low,1,2,1,2,70.0,0.0004752098843655948,2.011111111111111
LOC0050,Mysuru District Office,3,16,6,12.373929,76.734074,1,14,14.0,2,0,0,0,0,0,0,0,0,72.2,2,0,2,0,0,0,1,0,0,14.0,2874,9.0,26.5,20.0,9,3.5,3.6,0.0,1,0,18.5,Poor,High,0,0,2,1,0.0,0.003130434782608696,1.2333333333333334
LOC0051,Bengaluru District Office,3,1,6,13.096432,77.482886,1,44,26.0,1,0,0,1,0,0,1,0,0,91.3,0,1,0,0,0,0,1,1,1,7.0,3875,20.0,31.6,18.0,9,2.3,2.0,8.0,1,0,52.8,Poor,High,2,0,1,2,7.0,0.0023219814241486067,6.6
LOC0052,Mumbai Domestic Airport,0,15,9,18.997477,72.780874,1,5,5.0,2,1,1,0,1,1,0,1,1,81.3,0,0,0,1,1,0,0,1,1,28.0,8078,34.0,159.2,12.0,3,3.9,4.1,4.0,0,2,99.0,Excellent,Low,3,3,1,1,28.0,0.0003713330857779428,3.413793103448276
LOC0053,Thane International Airport,0,22,9,19.249637,72.93505,0,5,5.0,6,1,1,1,1,0,1,1,1,99.7,0,1,0,1,1,0,1,0,1,17.0,19656,77.0,242.9,1.0,0,4.3,2.8,19.0,0,2,100.0,Excellent,Low,5,2,2,1,17.0,0.0,5.555555555555555
LOC0054,Kochi Municipal Office,3,12,7,9.844247,76.245373,1,50,10.0,1,0,0,0,0,0,1,0,1,73.1,0,0,2,1,0,1,1,1,2,13.0,1307,2.0,34.3,15.0,7,2.0,1.9,13.0,1,0,35.2,Poor,High,2,0,3,2,26.0,0.005351681957186544,2.5142857142857147
LOC0055,Bhopal General Hospital,4,2,8,23.12371,77.486343,1,48,10.0,7,0,1,1,0,0,1,1,1,85.8,0,1,2,0,0,0,1,1,2,28.0,4360,26.0,93.2,10.0,4,4.2,4.1,3.0,0,1,74.1,Average,Medium,4,1,3,2,56.0,0.0009172208209126347,2.555172413793103
LOC0056,Hyderabad Airport Terminal,0,8,12,17.280026,78.524689,0,8,8.0,7,1,1,1,0,1,1,0,0,94.5,0,0,2,1,1,0,1,0,0,25.0,14831,61.0,208.5,1.0,4,3.9,3.5,2.0,1,2,91.8,Excellent,Medium,4,1,3,1,0.0,0.00026968716289104636,3.5307692307692307
LOC0057,Nashik District Office,3,18,9,19.87387,73.828636,1,16,13.0,2,0,1,0,0,1,0,0,0,79.5,1,2,2,0,0,0,1,0,1,11.0,3846,18.0,44.0,10.0,2,3.8,3.3,15.0,1,1,62.1,Average,Medium,1,1,4,1,11.0,0.0005198856251624642,5.175
LOC0058,Thiruvananthapuram Bus Depot,1,23,7,8.672401,77.041692,1,39,9.0,1,0,0,0,0,1,0,0,0,67.6,0,1,2,1,0,0,1,0,0,9.0,677,8.0,8.1,32.0,13,2.1,1.9,0.0,1,2,35.1,Poor,High,0,1,4,1,0.0,0.019174041297935103,3.5100000000000002
LOC0059,Udaipur City Hospital,4,24,10,24.468542,73.619436,0,24,19.0,3,0,1,1,0,0,0,0,1,84.8,0,0,0,1,0,0,0,1,1,9.0,1362,7.0,138.3,12.0,0,2.6,2.3,12.0,0,2,72.5,Average,Low,3,0,1,1,9.0,0.0,7.25
LOC0060,Kanpur Health Centre,4,11,13,26.588756,80.386498,0,16,4.0,7,0,1,0,1,0,1,0,0,87.0,1,1,1,1,1,1,0,1,2,27.0,3013,12.0,86.2,10.0,1,3.5,3.4,15.0,0,2,79.5,Good,Medium,2,1,3,1,54.0,0.00033178500331785003,2.8392857142857144
LOC0061,Nagpur Central Park,6,17,9,21.224175,79.098102,1,32,8.0,1,0,0,1,0,1,0,1,1,84.7,2,0,1,0,0,0,0,0,0,13.0,2795,11.0,23.5,8.0,3,2.8,2.7,1.0,1,2,40.8,Poor,High,2,2,1,0,0.0,0.001072961373390558,2.914285714285714
LOC0062,Visakhapatnam Bus Stand,1,25,0,17.765596,83.2031,1,24,6.0,1,1,0,1,0,0,1,1,1,93.4,2,2,2,0,0,0,1,1,0,11.0,2415,19.0,16.0,15.0,3,3.0,3.0,22.0,1,0,44.9,Poor,High,4,1,4,2,0.0,0.0012417218543046358,3.7416666666666667
LOC0063,Guwahati Temple Complex,8,7,1,26.040491,91.657311,1,151,36.0,1,0,0,0,0,0,0,0,0,68.2,0,2,2,0,0,0,1,0,1,9.0,762,2.0,21.4,16.0,6,1.6,1.6,13.0,1,1,18.2,Poor,High,0,0,4,1,9.0,0.007863695937090432,1.8199999999999998
LOC0064,Lucknow Domestic Airport,0,14,13,26.964457,81.031703,1,21,5.0,3,1,1,1,0,0,1,0,1,97.9,1,0,0,1,0,1,0,0,0,22.0,14528,62.0,154.6,9.0,1,3.9,4.5,21.0,0,2,96.0,Excellent,Low,5,0,1,0,0.0,6.882786151834262e-05,4.173913043478261
LOC0065,Coimbatore Central Park,6,5,11,10.985971,77.04778,1,31,19.0,1,1,0,0,0,0,0,0,0,83.7,0,0,2,1,0,0,1,1,0,16.0,2129,5.0,13.0,23.0,6,2.5,2.5,12.0,1,0,37.7,Poor,High,1,0,3,2,0.0,0.0028169014084507044,2.2176470588235295
LOC0066,Coimbatore City Bus Stop,1,5,11,11.000039,77.006973,1,11,10.0,1,0,0,0,0,0,0,1,1,77.2,2,0,2,0,0,0,1,1,0,7.0,2236,10.0,16.9,19.0,1,2.7,2.7,2.0,1,2,44.2,Poor,High,1,1,2,2,0.0,0.0004470272686633885,5.525
LOC0067,Chennai Central Station,7,4,11,13.088452,80.296582,1,29,22.0,2,0,1,1,0,1,0,1,0,88.9,0,1,1,1,0,1,1,1,0,34.0,16052,56.0,125.1,18.0,10,2.7,3.3,20.0,1,2,58.3,Average,High,2,2,3,2,0.0,0.0006229365227683299,1.6657142857142857
LOC0068,Bhopal Temple Complex,8,2,8,23.223638,77.389446,1,122,28.0,1,0,0,0,0,0,0,0,0,68.9,1,2,2,1,0,0,1,0,2,10.0,337,2.0,18.3,18.0,4,2.6,3.0,22.0,1,0,23.1,Poor,High,0,0,5,1,20.0,0.011834319526627219,2.1
LOC0069,Patna Bus Stand,1,19,2,25.588053,85.171727,0,17,14.0,1,0,0,0,0,1,1,0,0,73.1,1,2,2,1,0,0,1,1,0,2.0,2993,5.0,20.0,13.0,3,2.9,3.1,7.0,1,1,47.8,Poor,High,1,1,5,2,0.0,0.001002004008016032,15.933333333333332
LOC0070,Guwahati Domestic Airport,0,7,1,26.174364,91.631714,0,19,11.0,7,1,1,0,0,0,1,1,1,77.0,1,0,0,1,0,0,0,1,1,35.0,19416,79.0,274.9,2.0,0,3.0,2.6,2.0,0,1,94.2,Excellent,Low,4,1,1,1,35.0,0.0,2.6166666666666667
LOC0071,Surat Municipal Office,3,21,5,21.185978,72.903509,1,57,13.0,1,1,0,1,0,0,0,0,1,104.1,2,2,2,0,0,0,0,1,2,34.0,1063,2.0,34.3,18.0,9,1.9,1.7,12.0,1,1,35.0,Poor,High,3,0,4,1,68.0,0.008458646616541353,1.0
LOC0072,Delhi Junction,7,6,4,28.802496,77.244829,1,70,12.0,2,1,0,0,0,0,0,1,0,78.0,0,0,1,0,0,0,1,1,0,9.0,18845,77.0,101.9,17.0,9,3.3,3.2,20.0,1,1,33.9,Poor,High,1,1,1,2,0.0,0.0004775549188156638,3.3899999999999997
LOC0073,Mumbai Bus Depot,1,15,9,19.070816,72.7448,1,35,7.0,1,0,1,1,0,0,0,0,0,82.4,1,0,2,0,0,1,1,0,2,8.0,1219,5.0,9.2,17.0,9,1.1,1.0,13.0,1,1,54.4,Poor,High,2,0,2,1,16.0,0.007377049180327869,6.044444444444444
LOC0074,Mysuru City Bus Stop,1,16,6,12.213261,76.676317,1,5,2.0,1,1,0,0,0,0,0,0,0,86.2,1,0,1,0,0,0,1,0,2,15.0,973,2.0,12.7,15.0,5,2.2,2.0,22.0,1,1,45.1,Poor,High,1,0,1,1,30.0,0.00513347022587269,2.81875
LOC0075,Mumbai Multispeciality Hospital,4,15,9,18.985809,72.802194,1,38,15.0,6,1,0,1,1,1,0,1,1,90.4,0,2,2,1,0,0,1,0,0,7.0,1101,4.0,74.3,5.0,3,2.9,3.2,2.0,1,1,68.3,Average,Medium,3,3,5,1,0.0,0.0027223230490018148,8.5375
LOC0076,Hyderabad City Park,6,8,12,17.465274,78.365434,1,8,8.0,1,1,1,0,1,1,0,0,1,78.3,0,0,2,1,0,0,0,1,1,14.0,2188,5.0,17.1,19.0,2,2.6,2.7,5.0,2,1,73.4,Average,Medium,3,2,3,1,14.0,0.0009136592051164915,4.8933333333333335
LOC0077,Ahmedabad City Park,6,0,5,23.120009,72.423435,1,48,8.0,1,0,1,0,0,1,0,0,0,80.2,0,0,1,0,0,1,0,1,2,24.0,1324,8.0,13.7,21.0,3,2.2,2.4,1.0,0,2,46.6,Poor,High,1,1,1,1,48.0,0.0022641509433962265,1.864
LOC0078,Thiruvananthapuram Bus Stand,1,23,7,8.429193,76.987059,1,31,18.0,1,1,0,0,0,0,1,0,0,82.3,0,2,2,0,0,0,1,0,0,4.0,2762,12.0,15.9,20.0,8,2.9,2.8,17.0,1,0,30.5,Poor,High,2,0,4,1,0.0,0.002895403546869345,6.1
LOC0079,Kolkata Public Garden,6,13,14,22.64009,88.265729,1,8,7.0,1,0,0,0,0,0,0,0,0,78.9,1,0,1,1,0,1,1,1,1,23.0,2868,5.0,24.1,18.0,7,2.6,2.5,20.0,1,1,42.3,Poor,High,0,0,2,2,23.0,0.0024398745207389336,1.7625
LOC0080,Nashik Heritage Fort,8,18,9,20.029641,73.724912,1,102,36.0,1,0,1,0,0,0,1,0,0,65.0,1,0,2,1,0,0,1,1,0,10.0,1748,5.0,30.8,23.0,9,1.0,1.2,13.0,2,2,41.4,Poor,High,2,0,3,2,0.0,0.005145797598627788,3.7636363636363637
LOC0081,Pune Government College,2,20,9,18.3999,73.974252,1,53,15.0,1,0,1,1,1,1,0,1,1,82.1,0,0,2,0,1,1,0,1,0,34.0,2453,10.0,48.9,18.0,6,3.2,3.5,19.0,1,2,74.5,Average,Medium,3,3,2,1,0.0,0.0024449877750611247,2.1285714285714286
LOC0082,Thiruvananthapuram Public Garden,6,23,7,8.505635,76.812256,1,33,8.0,1,0,0,1,0,1,1,0,1,92.0,0,2,2,1,0,0,1,0,1,22.0,633,2.0,19.2,22.0,4,3.2,3.3,21.0,1,2,57.5,Average,Medium,3,1,5,1,22.0,0.006309148264984227,2.5
LOC0083,Ahmedabad College of Engineering,2,0,5,23.023374,72.60985,0,32,13.0,1,1,1,0,1,1,0,0,0,84.3,0,2,1,1,0,0,1,0,2,14.0,2744,5.0,47.7,15.0,5,3.0,3.1,10.0,2,0,42.9,Poor,High,2,2,4,1,28.0,0.0018214936247723133,2.86
