Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ownership_Type,Building_Age_Years,Last_Renovation_Years_Ago,Number_of_Floors,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Door_Width_cm,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Staff_Trained_Accessibility,Multilingual_Signage,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,Staff_Count,Budget_Allocated_Lakh_INR,Complaint_Resolution_Days,Accessibility_Complaints,User_Rating,Google_Maps_Rating,Last_Inspection_Months,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority
LOC0018,Jaipur Collectorate Office,3,10,10,26.903186,75.895266,1,29,11.0,2,1,1,1,1,1,0,0,0,99.1,2,1,2,0,0,0,1,1,0,35.0,4778,19.0,44.6,14.0,6,3.5,3.5,17.0,1,2,77.4,Good,Medium
LOC0019,Lucknow City Hospital,4,14,13,26.982773,80.970022,0,33,17.0,6,1,0,1,1,0,1,1,0,92.5,1,0,2,1,1,0,0,1,2,10.0,3885,27.0,120.3,13.0,2,3.8,3.3,2.0,1,2,95.1,Excellent,Low
LOC0020,Jaipur Junction,7,10,10,26.783452,75.688684,1,84,33.0,3,0,1,1,0,0,1,0,1,87.3,0,1,0,0,1,0,1,1,2,7.0,19507,71.0,118.6,16.0,2,3.5,4.0,19.0,0,1,72.1,Average,Low
LOC0021,Chandigarh Public Garden,6,3,3,30.705304,76.895537,1,28,22.0,1,1,0,0,0,1,0,0,1,72.8,0,2,0,0,0,1,0,1,0,10.0,908,2.0,19.3,19.0,10,2.6,2.4,14.0,1,0,35.3,Poor,High
LOC0022,Hyderabad Collectorate Office,3,8,12,17.517063,78.458467,1,63,17.0,1,0,0,1,1,0,0,0,0,80.1,0,0,0,1,1,0,1,0,1,39.0,2516,9.0,30.0,14.0,6,2.5,2.3,16.0,1,0,51.0,Poor,Medium
LOC0023,Coimbatore Medical Center,4,5,11,10.942864,76.86589,1,14,13.0,2,0,0,1,0,0,0,1,1,85.3,1,1,1,1,1,0,1,1,2,12.0,4587,20.0,84.1,17.0,2,4.9,5.0,10.0,1,2,73.8,Average,Medium
LOC0024,Mumbai Lake View Point,8,15,9,18.963849,72.917664,1,45,9.0,1,1,1,0,0,0,0,1,1,82.4,2,1,0,1,0,0,0,1,2,20.0,1139,3.0,25.1,18.0,6,2.1,2.1,19.0,0,2,64.4,Average,Medium
LOC0025,Indore Government College,2,9,8,22.720371,75.968356,0,63,27.0,1,0,1,1,0,0,1,0,0,85.9,2,0,1,1,0,0,1,1,2,9.0,4726,23.0,62.8,17.0,3,1.9,1.8,5.0,1,2,47.3,Poor,High
LOC0026,Indore Bus Depot,1,9,8,22.73162,75.822143,1,2,2.0,1,1,0,0,0,0,0,0,0,87.2,2,0,2,1,0,0,1,0,2,3.0,2527,9.0,17.7,20.0,9,1.3,1.5,14.0,1,1,33.9,Poor,High
LOC0027,Nashik Central Station,7,18,9,19.885264,73.678257,1,33,23.0,1,1,1,1,1,0,0,0,1,103.2,2,0,1,0,0,0,1,0,2,25.0,15951,64.0,102.9,8.0,2,1.5,1.4,13.0,1,1,60.3,Average,Medium
LOC0028,Thane Lake View Point,8,22,9,19.209888,73.005831,0,25,10.0,1,1,1,1,0,0,0,0,0,103.5,2,0,2,1,0,0,0,1,2,14.0,2452,8.0,25.3,13.0,4,3.1,3.7,4.0,0,0,55.8,Average,Medium
LOC0029,Nashik Museum,8,18,9,19.856511,73.93816,0,86,26.0,1,0,1,1,0,0,0,0,0,80.2,2,0,1,0,1,0,0,1,1,8.0,338,5.0,14.4,27.0,6,2.3,2.1,21.0,2,1,25.7,Poor,High
LOC0030,Patna General Hospital,4,19,2,25.473278,85.249652,1,18,14.0,5,1,1,1,1,1,1,0,0,95.4,0,0,0,1,1,1,0,1,1,8.0,4411,22.0,71.7,9.0,2,3.2,3.0,11.0,1,2,100.0,Excellent,Low
LOC0031,Thiruvananthapuram Public Garden,6,23,7,8.585943,76.927866,1,45,9.0,1,1,1,0,1,0,0,0,1,81.4,2,0,0,0,1,0,0,1,1,7.0,2344,8.0,20.7,17.0,4,3.0,3.3,8.0,0,2,72.5,Average,Medium
LOC0032,Nashik Museum,8,18,9,19.943527,73.917924,0,113,19.0,1,0,0,0,0,0,0,1,0,75.6,2,2,1,0,0,1,0,0,1,4.0,2980,17.0,33.2,24.0,9,1.8,2.0,6.0,1,0,1.2,Poor,High
LOC0033,Mumbai General Hospital,4,15,9,19.127555,72.947642,0,37,24.0,4,1,1,0,0,0,1,1,0,80.5,0,0,1,1,0,1,0,1,0,17.0,4401,28.0,123.9,18.0,7,2.4,2.4,11.0,1,2,59.9,Average,High
LOC0034,Jaipur City Hospital,4,10,10,26.846755,75.70993,0,56,11.0,6,0,1,1,0,1,0,0,0,86.7,2,1,2,0,1,0,0,0,1,18.0,4266,24.0,128.1,13.0,4,3.7,3.8,12.0,0,1,56.1,Average,Medium
LOC0035,Jaipur Bus Stand,1,10,10,26.980163,75.776539,1,10,8.0,1,0,0,0,0,1,0,0,0,78.4,2,0,1,0,0,0,1,0,2,15.0,1925,5.0,14.9,17.0,2,2.4,1.8,19.0,1,1,26.8,Poor,High
LOC0036,Mumbai Heritage Fort,8,15,9,19.11208,72.765811,1,25,9.0,1,0,1,1,0,0,0,0,0,82.3,1,0,1,1,0,0,1,0,0,16.0,779,2.0,13.9,25.0,6,1.7,1.7,10.0,2,1,41.3,Poor,High
LOC0037,Mysuru Public Garden,6,16,6,12.347728,76.628697,1,34,9.0,1,1,1,0,1,0,0,0,0,76.7,2,0,1,0,1,0,0,0,2,9.0,2062,10.0,17.7,19.0,7,1.2,1.9,0.0,1,0,39.1,Poor,High
LOC0038,Indore Museum,8,9,8,22.722284,75.946983,1,174,40.0,1,1,0,0,0,0,0,0,1,69.1,1,0,2,0,0,0,1,1,0,14.0,1745,13.0,27.3,20.0,6,1.4,1.6,21.0,1,2,44.2,Poor,High
LOC0039,Guwahati Central Park,6,7,1,26.190142,91.724545,0,6,2.0,1,0,0,0,0,0,0,0,1,91.0,2,2,1,1,1,1,1,1,1,10.0,2736,5.0,24.6,23.0,1,3.1,3.2,12.0,1,0,29.2,Poor,High
LOC0040,Coimbatore Collectorate Office,3,5,11,10.898379,76.860026,1,61,25.0,1,0,0,1,1,0,0,0,0,86.8,1,2,2,1,0,0,1,1,0,7.0,4769,15.0,39.9,31.0,9,2.3,2.5,15.0,1,2,43.3,Poor,High
LOC0041,Bengaluru Municipal Office,3,1,6,12.946058,77.541109,1,33,12.0,1,0,0,0,0,0,1,0,0,67.7,2,2,2,1,1,0,1,1,0,6.0,965,3.0,40.8,10.0,10,1.7,1.7,11.0,1,0,14.0,Poor,High
LOC0042,Ahmedabad City Hospital,4,0,5,22.896284,72.516077,0,19,14.0,6,1,0,0,0,0,1,0,0,77.2,0,1,0,1,1,1,1,1,2,16.0,1691,11.0,67.2,18.0,5,2.4,2.6,6.0,1,1,69.4,Average,Medium
LOC0043,Delhi Airport Terminal,0,6,4,28.763876,77.028837,0,17,7.0,3,1,1,1,1,0,0,1,1,93.2,0,0,0,1,1,1,1,1,0,19.0,3337,14.0,149.3,6.0,3,3.1,2.9,17.0,1,1,96.4,Excellent,Low
LOC0044,Indore College of Engineering,2,9,8,22.581189,75.843363,0,33,19.0,2,1,1,1,1,0,0,1,1,97.6,1,1,2,1,1,0,0,0,0,18.0,1852,9.0,39.7,13.0,3,3.2,3.2,0.0,1,1,98.3,Excellent,Medium
LOC0045,Bengaluru Heritage Fort,8,1,6,13.032884,77.493142,1,98,33.0,1,1,1,0,0,0,0,0,0,79.6,0,2,0,1,0,0,1,1,1,15.0,2548,5.0,19.6,17.0,8,1.6,1.6,12.0,2,1,43.1,Poor,High
LOC0046,Chennai Central Station,7,4,11,13.213786,80.243536,1,81,24.0,3,1,0,0,0,0,1,1,0,80.4,0,1,1,1,0,1,1,1,0,11.0,4751,21.0,66.3,23.0,9,3.0,2.8,8.0,1,0,39.4,Poor,High
LOC0047,Thane Government College,2,22,9,19.127177,72.841063,0,27,10.0,3,1,0,1,1,0,1,0,0,95.3,0,0,0,1,0,0,0,1,0,36.0,3173,17.0,65.7,21.0,7,2.1,2.2,20.0,1,0,60.6,Average,Medium
LOC0048,Visakhapatnam Medical Center,4,25,0,17.750082,83.361663,0,25,9.0,5,1,0,0,1,0,1,1,0,88.4,2,0,2,0,0,1,1,0,0,6.0,875,17.0,106.1,9.0,3,2.8,3.0,9.0,1,2,60.0,Average,Medium
LOC0049,Kochi Plaza Mall,5,12,7,9.91109,76.331257,0,21,13.0,7,0,0,0,1,0,0,1,1,75.5,0,0,0,1,1,1,1,1,2,35.0,6312,30.0,162.2,7.0,3,3.7,3.8,6.0,1,1,72.4,Average,Low
LOC0050,Mysuru District Office,3,16,6,12.373929,76.734074,1,14,14.0,2,0,0,0,0,0,0,0,0,72.2,2,0,2,0,0,0,1,0,0,14.0,2874,9.0,26.5,20.0,9,3.5,3.6,0.0,1,0,18.5,Poor,High
LOC0051,Bengaluru District Office,3,1,6,13.096432,77.482886,1,44,26.0,1,0,0,1,0,0,1,0,0,91.3,0,1,0,0,0,0,1,1,1,7.0,3875,20.0,31.6,18.0,9,2.3,2.0,8.0,1,0,52.8,Poor,High
LOC0052,Mumbai Domestic Airport,0,15,9,18.997477,72.780874,1,5,5.0,2,1,1,0,1,1,0,1,1,81.3,0,0,0,1,1,0,0,1,1,28.0,8078,34.0,159.2,12.0,3,3.9,4.1,4.0,0,2,99.0,Excellent,Low
LOC0053,Thane International Airport,0,22,9,19.249637,72.93505,0,5,5.0,6,1,1,1,1,0,1,1,1,99.7,0,1,0,1,1,0,1,0,1,17.0,19656,77.0,242.9,1.0,0,4.3,2.8,19.0,0,2,100.0,Excellent,Low
LOC0054,Kochi Municipal Office,3,12,7,9.844247,76.245373,1,50,10.0,1,0,0,0,0,0,1,0,1,73.1,0,0,2,1,0,1,1,1,2,13.0,1307,2.0,34.3,15.0,7,2.0,1.9,13.0,1,0,35.2,Poor,High
LOC0055,Bhopal General Hospital,4,2,8,23.12371,77.486343,1,48,10.0,7,0,1,1,0,0,1,1,1,85.8,0,1,2,0,0,0,1,1,2,28.0,4360,26.0,93.2,10.0,4,4.2,4.1,3.0,0,1,74.1,Average,Medium
LOC0056,Hyderabad Airport Terminal,0,8,12,17.280026,78.524689,0,8,8.0,7,1,1,1,0,1,1,0,0,94.5,0,0,2,1,1,0,1,0,0,25.0,14831,61.0,208.5,1.0,4,3.9,3.5,2.0,1,2,91.8,Excellent,Medium
LOC0057,Nashik District Office,3,18,9,19.87387,73.828636,1,16,13.0,2,0,1,0,0,1,0,0,0,79.5,1,2,2,0,0,0,1,0,1,11.0,3846,18.0,44.0,10.0,2,3.8,3.3,15.0,1,1,62.1,Average,Medium
LOC0058,Thiruvananthapuram Bus Depot,1,23,7,8.672401,77.041692,1,39,9.0,1,0,0,0,0,1,0,0,0,67.6,0,1,2,1,0,0,1,0,0,9.0,677,8.0,8.1,32.0,13,2.1,1.9,0.0,1,2,35.1,Poor,High
LOC0059,Udaipur City Hospital,4,24,10,24.468542,73.619436,0,24,19.0,3,0,1,1,0,0,0,0,1,84.8,0,0,0,1,0,0,0,1,1,9.0,1362,7.0,138.3,12.0,0,2.6,2.3,12.0,0,2,72.5,Average,Low
LOC0060,Kanpur Health Centre,4,11,13,26.588756,80.386498,0,16,4.0,7,0,1,0,1,0,1,0,0,87.0,1,1,1,1,1,1,0,1,2,27.0,3013,12.0,86.2,10.0,1,3.5,3.4,15.0,0,2,79.5,Good,Medium
LOC0061,Nagpur Central Park,6,17,9,21.224175,79.098102,1,32,8.0,1,0,0,1,0,1,0,1,1,84.7,2,0,1,0,0,0,0,0,0,13.0,2795,11.0,23.5,8.0,3,2.8,2.7,1.0,1,2,40.8,Poor,High
LOC0062,Visakhapatnam Bus Stand,1,25,0,17.765596,83.2031,1,24,6.0,1,1,0,1,0,0,1,1,1,93.4,2,2,2,0,0,0,1,1,0,11.0,2415,19.0,16.0,15.0,3,3.0,3.0,22.0,1,0,44.9,Poor,High
LOC0063,Guwahati Temple Complex,8,7,1,26.040491,91.657311,1,151,36.0,1,0,0,0,0,0,0,0,0,68.2,0,2,2,0,0,0,1,0,1,9.0,762,2.0,21.4,16.0,6,1.6,1.6,13.0,1,1,18.2,Poor,High
LOC0064,Lucknow Domestic Airport,0,14,13,26.964457,81.031703,1,21,5.0,3,1,1,1,0,0,1,0,1,97.9,1,0,0,1,0,1,0,0,0,22.0,14528,62.0,154.6,9.0,1,3.9,4.5,21.0,0,2,96.0,Excellent,Low
LOC0065,Coimbatore Central Park,6,5,11,10.985971,77.04778,1,31,19.0,1,1,0,0,0,0,0,0,0,83.7,0,0,2,1,0,0,1,1,0,16.0,2129,5.0,13.0,23.0,6,2.5,2.5,12.0,1,0,37.7,Poor,High
LOC0066,Coimbatore City Bus Stop,1,5,11,11.000039,77.006973,1,11,10.0,1,0,0,0,0,0,0,1,1,77.2,2,0,2,0,0,0,1,1,0,7.0,2236,10.0,16.9,19.0,1,2.7,2.7,2.0,1,2,44.2,Poor,High
LOC0067,Chennai Central Station,7,4,11,13.088452,80.296582,1,29,22.0,2,0,1,1,0,1,0,1,0,88.9,0,1,1,1,0,1,1,1,0,34.0,16052,56.0,125.1,18.0,10,2.7,3.3,20.0,1,2,58.3,Average,High
LOC0068,Bhopal Temple Complex,8,2,8,23.223638,77.389446,1,122,28.0,1,0,0,0,0,0,0,0,0,68.9,1,2,2,1,0,0,1,0,2,10.0,337,2.0,18.3,18.0,4,2.6,3.0,22.0,1,0,23.1,Poor,High
LOC0069,Patna Bus Stand,1,19,2,25.588053,85.171727,0,17,14.0,1,0,0,0,0,1,1,0,0,73.1,1,2,2,1,0,0,1,1,0,2.0,2993,5.0,20.0,13.0,3,2.9,3.1,7.0,1,1,47.8,Poor,High
LOC0070,Guwahati Domestic Airport,0,7,1,26.174364,91.631714,0,19,11.0,7,1,1,0,0,0,1,1,1,77.0,1,0,0,1,0,0,0,1,1,35.0,19416,79.0,274.9,2.0,0,3.0,2.6,2.0,0,1,94.2,Excellent,Low
LOC0071,Surat Municipal Office,3,21,5,21.185978,72.903509,1,57,13.0,1,1,0,1,0,0,0,0,1,104.1,2,2,2,0,0,0,0,1,2,34.0,1063,2.0,34.3,18.0,9,1.9,1.7,12.0,1,1,35.0,Poor,High
LOC0072,Delhi Junction,7,6,4,28.802496,77.244829,1,70,12.0,2,1,0,0,0,0,0,1,0,78.0,0,0,1,0,0,0,1,1,0,9.0,18845,77.0,101.9,17.0,9,3.3,3.2,20.0,1,1,33.9,Poor,High
LOC0073,Mumbai Bus Depot,1,15,9,19.070816,72.7448,1,35,7.0,1,0,1,1,0,0,0,0,0,82.4,1,0,2,0,0,1,1,0,2,8.0,1219,5.0,9.2,17.0,9,1.1,1.0,13.0,1,1,54.4,Poor,High
LOC0074,Mysuru City Bus Stop,1,16,6,12.213261,76.676317,1,5,2.0,1,1,0,0,0,0,0,0,0,86.2,1,0,1,0,0,0,1,0,2,15.0,973,2.0,12.7,15.0,5,2.2,2.0,22.0,1,1,45.1,Poor,High
LOC0075,Mumbai Multispeciality Hospital,4,15,9,18.985809,72.802194,1,38,15.0,6,1,0,1,1,1,0,1,1,90.4,0,2,2,1,0,0,1,0,0,7.0,1101,4.0,74.3,5.0,3,2.9,3.2,2.0,1,1,68.3,Average,Medium
LOC0076,Hyderabad City Park,6,8,12,17.465274,78.365434,1,8,8.0,1,1,1,0,1,1,0,0,1,78.3,0,0,2,1,0,0,0,1,1,14.0,2188,5.0,17.1,19.0,2,2.6,2.7,5.0,2,1,73.4,Average,Medium
LOC0077,Ahmedabad City Park,6,0,5,23.120009,72.423435,1,48,8.0,1,0,1,0,0,1,0,0,0,80.2,0,0,1,0,0,1,0,1,2,24.0,1324,8.0,13.7,21.0,3,2.2,2.4,1.0,0,2,46.6,Poor,High
LOC0078,Thiruvananthapuram Bus Stand,1,23,7,8.429193,76.987059,1,31,18.0,1,1,0,0,0,0,1,0,0,82.3,0,2,2,0,0,0,1,0,0,4.0,2762,12.0,15.9,20.0,8,2.9,2.8,17.0,1,0,30.5,Poor,High
LOC0079,Kolkata Public Garden,6,13,14,22.64009,88.265729,1,8,7.0,1,0,0,0,0,0,0,0,0,78.9,1,0,1,1,0,1,1,1,1,23.0,2868,5.0,24.1,18.0,7,2.6,2.5,20.0,1,1,42.3,Poor,High
LOC0080,Nashik Heritage Fort,8,18,9,20.029641,73.724912,1,102,36.0,1,0,1,0,0,0,1,0,0,65.0,1,0,2,1,0,0,1,1,0,10.0,1748,5.0,30.8,23.0,9,1.0,1.2,13.0,2,2,41.4,Poor,High
LOC0081,Pune Government College,2,20,9,18.3999,73.974252,1,53,15.0,1,0,1,1,1,1,0,1,1,82.1,0,0,2,0,1,1,0,1,0,34.0,2453,10.0,48.9,18.0,6,3.2,3.5,19.0,1,2,74.5,Average,Medium
LOC0082,Thiruvananthapuram Public Garden,6,23,7,8.505635,76.812256,1,33,8.0,1,0,0,1,0,1,1,0,1,92.0,0,2,2,1,0,0,1,0,1,22.0,633,2.0,19.2,22.0,4,3.2,3.3,21.0,1,2,57.5,Average,Medium
LOC0083,Ahmedabad College of Engineering,2,0,5,23.023374,72.60985,0,32,13.0,1,1,1,0,1,1,0,0,0,84.3,0,2,1,1,0,0,1,0,2,14.0,2744,5.0,47.7,15.0,5,3.0,3.1,10.0,2,0,42.9,Poor,High
LOC0084,Delhi Public Garden,6,6,4,28.784713,77.199595,1,34,5.0,1,0,0,1,0,0,1,1,0,87.3,2,0,1,1,1,0,0,1,1,8.0,1932,10.0,22.0,19.0,6,2.4,2.0,20.0,1,0,32.0,Poor,High
LOC0085,Surat Grand Mall,5,21,5,21.152343,72.778897,0,12,5.0,7,1,0,0,1,0,1,0,0,91.4,1,1,2,1,1,0,1,1,0,38.0,18176,74.0,224.5,7.0,3,3.7,3.7,21.0,1,2,87.4,Good,Medium
LOC0086,Hyderabad Tehsil Office,3,8,12,17.397013,78.425392,1,27,18.0,1,0,0,1,0,0,0,0,0,91.9,2,0,2,0,0,0,1,1,1,19.0,819,7.0,37.5,12.0,2,2.4,2.7,13.0,1,0,37.4,Poor,High
LOC0087,Coimbatore Degree College,2,5,11,11.085313,77.037088,1,23,5.0,1,1,1,1,0,0,1,1,1,101.5,0,2,0,1,1,0,0,0,2,34.0,3051,9.0,35.9,16.0,6,4.0,4.3,4.0,2,1,78.1,Good,Medium
LOC0088,Mumbai Collectorate Office,3,15,9,19.114875,72.946724,1,46,23.0,1,1,0,0,0,0,0,0,0,80.0,0,2,1,1,0,0,0,1,1,23.0,1120,3.0,38.2,12.0,5,2.7,2.7,21.0,1,0,25.5,Poor,High
LOC0089,Nashik City Centre Mall,5,18,9,20.138498,73.640473,0,5,5.0,3,1,1,1,1,1,1,0,0,97.8,1,1,1,1,1,0,0,0,2,44.0,6425,29.0,151.6,8.0,0,4.0,3.7,11.0,1,1,100.0,Excellent,Medium
LOC0090,Udaipur Green Park,6,24,10,24.650785,73.612978,0,43,26.0,1,1,0,1,0,0,1,0,0,96.9,2,2,0,1,0,0,1,1,1,24.0,305,2.0,13.4,17.0,4,3.6,3.1,10.0,1,0,51.7,Poor,High
LOC0091,Indore City Bus Stop,1,9,8,22.660231,75.752512,1,13,13.0,1,0,0,1,0,0,0,0,1,77.5,0,2,1,1,0,0,1,0,0,11.0,2173,15.0,12.6,22.0,4,1.4,1.6,18.0,1,0,18.3,Poor,High
LOC0092,Visakhapatnam Railway Station,7,25,0,17.635572,83.131942,1,23,22.0,2,1,0,0,1,0,1,0,1,84.7,0,0,2,1,0,1,1,0,2,14.0,19537,75.0,126.7,13.0,2,4.1,4.4,16.0,1,2,75.3,Good,Low
LOC0093,Guwahati Bus Stand,1,7,1,26.10073,91.712395,1,19,12.0,1,0,0,1,0,0,0,1,0,90.8,2,0,1,0,0,0,1,0,0,22.0,2520,10.0,15.0,9.0,5,2.9,3.3,3.0,1,0,28.7,Poor,High
LOC0094,Patna Public Garden,6,19,2,25.463026,85.080454,1,17,8.0,1,0,0,1,0,0,0,1,1,81.1,1,0,1,1,0,0,0,1,0,18.0,1349,5.0,18.4,23.0,8,2.3,2.3,19.0,1,0,37.2,Poor,High
LOC0095,Chandigarh Heritage Fort,8,3,3,30.729266,76.682895,1,42,20.0,1,1,0,0,1,0,1,0,1,76.2,1,0,2,1,0,0,1,1,1,2.0,626,3.0,16.2,12.0,4,2.6,2.4,16.0,1,1,73.6,Average,Medium
LOC0096,Surat Public Garden,6,21,5,21.10521,72.804322,1,3,3.0,1,1,0,0,0,0,0,1,0,83.7,1,0,1,1,0,0,0,0,1,10.0,1634,3.0,22.4,13.0,4,1.4,1.3,13.0,1,2,55.8,Average,Medium
LOC0097,Pune Green Park,6,20,9,18.655699,73.810829,1,35,23.0,1,1,1,0,1,0,1,0,0,68.7,0,2,0,1,0,0,0,1,1,19.0,2052,6.0,22.8,23.0,2,3.5,3.3,2.0,2,2,70.5,Average,Medium
LOC0098,Nashik Temple Complex,8,18,9,19.990479,73.749536,1,122,33.0,1,0,1,1,0,0,0,0,0,83.8,0,0,2,1,0,1,0,1,2,18.0,1364,3.0,13.2,19.0,11,2.8,2.9,22.0,2,0,32.5,Poor,High
LOC0099,Bhopal Institute of Technology,2,2,8,23.404841,77.280519,0,56,9.0,3,1,1,1,1,0,1,0,0,98.7,1,0,0,1,1,1,1,1,0,20.0,2407,14.0,48.0,12.0,5,2.9,2.8,13.0,0,1,93.4,Excellent,Medium
LOC0100,Delhi Shopping Mall,5,6,4,28.656821,77.200364,0,13,13.0,4,0,0,1,1,0,0,1,0,94.8,0,2,0,1,1,1,0,1,1,26.0,12252,44.0,171.7,7.0,1,3.6,3.7,16.0,1,2,75.4,Good,Low
LOC0101,Mysuru District Office,3,16,6,12.168274,76.543965,1,14,7.0,1,0,0,0,0,0,0,0,1,76.5,2,1,1,1,1,0,1,1,2,37.0,2948,3.0,48.3,15.0,0,2.7,2.7,6.0,1,2,44.7,Poor,High
LOC0102,Bhopal Multispeciality Hospital,4,2,8,23.351184,77.421445,0,8,8.0,4,1,1,1,1,0,1,1,0,93.0,1,0,0,1,1,0,0,1,2,28.0,3866,20.0,74.6,16.0,0,3.7,4.0,23.0,1,2,100.0,Excellent,Low
