Location_ID,Location_Name,Location_Type,City,State,Latitude,Longitude,Ramp_Available,Elevator_Available,Wheelchair_Entrance,Braille_Signage,Audio_Announcements,Accessible_Washroom,Tactile_Path,Reserved_Parking,Footpath_Condition,Lighting,Safety_Level,CCTV_Available,Public_Transport_Nearby,Parking_Available,Crowd_Level,Average_Waiting_Time,Daily_Footfall,User_Rating,Accessibility_Complaints,Last_Inspection_Months,Number_of_Floors,Lift_Condition,Emergency_Exit_Accessibility,Accessibility_Score,Accessibility_Category,Improvement_Priority
LOC0047,Chennai Plaza Mall,Mall,Chennai,Tamil Nadu,13.09902,80.216915,Yes,Yes,Yes,No,Yes,Yes,No,No,Average,Average,High,Yes,No,No,High,20,17402,3.6,1,14,2,Average,Yes,81.9,Good,Low
LOC0048,Mumbai Medical Center,Hospital,Mumbai,Maharashtra,19.149038,72.983344,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Poor,Poor,Low,Yes,Yes,Yes,Low,37,2595,3.6,1,14,4,Good,Yes,72.9,Average,Medium
LOC0049,Kolkata Airport Terminal,Airport,Kolkata,West Bengal,22.604763,88.341394,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Good,Average,High,Yes,Yes,Yes,High,6,5318,4.3,2,13,3,Good,Yes,100,Excellent,Low
LOC0050,Nashik Shopping Mall,Mall,Nashik,Maharashtra,19.968998,73.882491,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Good,Poor,High,Yes,Yes,No,High,35,4372,4,2,20,2,Average,Yes,91.4,Excellent,Low
LOC0051,Patna Lake View Point,Tourist Attraction,Patna,Bihar,25.463035,85.278226,Yes,Yes,No,Yes,No,No,No,No,Poor,Average,Medium,No,No,Yes,High,24,803,3.6,5,17,1,Poor,Partial,46.2,Poor,High
LOC0052,Bengaluru Health Centre,Hospital,Bengaluru,Karnataka,13.005266,77.455153,Yes,No,Yes,No,No,No,Yes,Yes,Average,Poor,Medium,Yes,Yes,Yes,High,12,4083,3.1,4,11,3,NA,Partial,52.4,Poor,High
LOC0053,Nashik Bus Stand,Bus Stop,Nashik,Maharashtra,19.960993,73.871032,Yes,No,No,No,No,No,Yes,No,Average,Average,Medium,Yes,Yes,No,High,4,711,3.4,4,11,1,NA,Yes,53.4,Poor,High
LOC0054,Visakhapatnam City Bus Stop,Bus Stop,Visakhapatnam,Andhra Pradesh,17.677502,83.337527,No,No,No,No,No,No,No,No,Average,Average,Low,No,Yes,No,Medium,3,368,1.9,3,17,1,NA,No,15.8,Poor,High
LOC0055,Chandigarh Railway Station,Railway Station,Chandigarh,Chandigarh,30.851706,76.711176,Yes,Yes,Yes,No,No,No,No,Yes,Average,Average,High,Yes,Yes,Yes,Medium,38,19252,2.7,6,16,2,Good,Partial,73.9,Average,Medium
LOC0056,Coimbatore Public Garden,Park,Coimbatore,Tamil Nadu,10.939078,77.031334,Yes,Yes,No,No,No,Yes,No,No,Poor,Average,Low,Yes,No,No,High,20,1611,3.4,1,13,1,Average,Partial,44.5,Poor,High
LOC0057,Surat Plaza Mall,Mall,Surat,Gujarat,21.185849,72.932084,Yes,No,No,No,No,No,Yes,Yes,Good,Average,High,Yes,No,No,Low,12,6800,2.8,4,17,3,NA,No,61.6,Average,Medium
LOC0058,Mysuru Botanical Garden,Tourist Attraction,Mysuru,Karnataka,12.419786,76.531417,Yes,Yes,No,Yes,No,Yes,Yes,No,Average,Good,Medium,No,Yes,No,High,22,2480,3.8,5,0,1,Good,Yes,83.4,Good,Medium
LOC0059,Ahmedabad City Bus Stop,Bus Stop,Ahmedabad,Gujarat,23.016325,72.679944,No,No,No,No,No,No,No,Yes,Average,Average,Low,Yes,Yes,Yes,High,14,2133,3,5,19,1,NA,No,23.1,Poor,High
LOC0060,Ahmedabad Bus Stand,Bus Stop,Ahmedabad,Gujarat,22.883035,72.469982,Yes,No,No,No,Yes,Yes,No,Yes,Poor,Poor,Low,No,Yes,Yes,Medium,3,2392,2.7,4,21,1,NA,Partial,33.8,Poor,High
LOC0061,Udaipur Government College,College,Udaipur,Rajasthan,24.586983,73.737293,No,Yes,No,No,No,Yes,No,No,Good,Average,Medium,Yes,No,No,High,12,4041,3.4,8,2,1,Average,No,48.5,Poor,High
LOC0062,Nashik Bus Depot,Bus Stop,Nashik,Maharashtra,19.913547,73.853375,No,Yes,Yes,No,Yes,No,No,Yes,Poor,Poor,Medium,No,Yes,No,Medium,19,1346,4.2,1,8,1,Poor,No,38.6,Poor,High
LOC0063,Hyderabad Temple Complex,Tourist Attraction,Hyderabad,Telangana,17.394484,78.47954,No,Yes,No,No,No,No,Yes,No,Good,Good,High,No,No,Yes,Low,3,1265,4.1,1,12,1,Average,Partial,73.7,Average,Low
LOC0064,Mumbai Domestic Airport,Airport,Mumbai,Maharashtra,19.190653,72.91924,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Average,Poor,High,Yes,No,Yes,High,17,6510,4.3,4,8,5,Average,Yes,87.5,Good,Medium
LOC0065,Kolkata Junction,Railway Station,Kolkata,West Bengal,22.463124,88.421962,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Average,Average,Medium,No,Yes,No,High,42,14603,3.3,4,11,2,Good,Partial,83,Good,Medium
LOC0066,Visakhapatnam Botanical Garden,Tourist Attraction,Visakhapatnam,Andhra Pradesh,17.671973,83.122765,Yes,Yes,No,No,No,Yes,No,Yes,Average,Average,Medium,No,Yes,Yes,Medium,7,628,3.1,5,8,1,Average,Partial,65.1,Average,Medium
LOC0067,Chandigarh Government College,College,Chandigarh,Chandigarh,30.880383,76.787432,No,No,Yes,No,No,Yes,No,No,Good,Good,Medium,No,No,No,Medium,22,1284,3.5,2,10,1,NA,Yes,62.4,Average,Medium
LOC0068,Delhi City Park,Park,Delhi,Delhi,28.809256,77.086385,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Good,Average,Medium,No,Yes,No,Low,10,2326,3.4,1,1,1,Good,No,84.2,Good,Low
LOC0069,Lucknow City Park,Park,Lucknow,Uttar Pradesh,26.741712,80.857037,No,No,Yes,Yes,No,Yes,Yes,Yes,Average,Average,Medium,Yes,No,Yes,Medium,14,2229,3.3,1,19,1,NA,Partial,67.3,Average,Medium
LOC0070,Mysuru Municipal Office,Government Office,Mysuru,Karnataka,12.158566,76.556477,Yes,No,No,Yes,No,Yes,No,No,Poor,Poor,Medium,Yes,No,No,Low,7,2362,3.8,3,20,2,NA,Yes,50,Poor,High
LOC0071,Indore Tehsil Office,Government Office,Indore,Madhya Pradesh,22.824294,75.849441,Yes,No,No,Yes,Yes,Yes,No,No,Average,Poor,Medium,No,Yes,No,Medium,37,2648,3.2,3,16,3,NA,Yes,58.8,Average,Medium
LOC0072,Pune Institute of Technology,College,Pune,Maharashtra,18.512992,73.932831,No,Yes,No,No,No,No,Yes,No,Poor,Good,Medium,Yes,Yes,Yes,Low,12,2007,3.6,2,10,3,Average,Partial,54.7,Poor,High
LOC0073,Chandigarh Bus Depot,Bus Stop,Chandigarh,Chandigarh,30.587433,76.703888,No,No,No,No,No,Yes,No,No,Poor,Good,Medium,Yes,Yes,No,High,8,2730,2.9,6,19,1,NA,No,26,Poor,High
LOC0074,Delhi City Park,Park,Delhi,Delhi,28.689852,77.205296,No,No,No,Yes,Yes,No,No,No,Average,Poor,Medium,Yes,Yes,No,Medium,21,2232,1.9,5,16,1,NA,Yes,40.3,Poor,High
LOC0075,Ahmedabad Degree College,College,Ahmedabad,Gujarat,22.932555,72.62541,No,Yes,Yes,Yes,No,Yes,No,No,Average,Good,Medium,Yes,Yes,No,Low,13,4786,3.3,7,2,2,Average,Yes,76,Good,Medium
LOC0076,Kanpur City Centre Mall,Mall,Kanpur,Uttar Pradesh,26.304137,80.460201,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Good,Good,Medium,Yes,Yes,Yes,High,19,3672,3.3,9,22,2,Good,No,88.4,Good,Medium
LOC0077,Surat Temple Complex,Tourist Attraction,Surat,Gujarat,21.048181,72.877969,No,No,No,No,Yes,Yes,No,Yes,Average,Poor,Medium,Yes,Yes,Yes,High,11,2766,3.1,5,14,1,NA,Partial,41.2,Poor,High
LOC0078,Jaipur City Bus Stop,Bus Stop,Jaipur,Rajasthan,26.839417,75.928231,No,No,Yes,No,Yes,No,No,Yes,Poor,Good,Medium,No,Yes,No,High,3,234,2.9,5,6,1,NA,Partial,40.8,Poor,High
LOC0079,Coimbatore Institute of Technology,College,Coimbatore,Tamil Nadu,10.999597,76.852687,No,Yes,No,No,No,Yes,Yes,No,Average,Average,High,No,Yes,Yes,High,13,4365,3.4,1,2,2,Average,Partial,64.1,Average,Medium
LOC0080,Thane City Centre Mall,Mall,Thane,Maharashtra,19.353255,73.052654,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,Good,Medium,Yes,Yes,Yes,High,5,5319,4.1,4,9,6,Average,No,98.8,Excellent,Medium
LOC0081,Patna Public Garden,Park,Patna,Bihar,25.471936,85.156203,No,No,No,No,No,No,No,No,Average,Poor,Medium,No,Yes,Yes,Low,6,257,1.9,2,11,1,NA,No,21.4,Poor,Medium
LOC0082,Thane International Airport,Airport,Thane,Maharashtra,19.155993,73.119721,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Average,Good,High,Yes,No,Yes,Medium,22,12523,4.6,2,9,4,Good,Yes,100,Excellent,Low
LOC0083,Chennai Junction,Railway Station,Chennai,Tamil Nadu,12.985061,80.349923,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Average,Poor,High,Yes,Yes,Yes,Medium,8,18627,3.5,2,16,1,Good,Partial,89.5,Good,Low
LOC0084,Nashik Railway Station,Railway Station,Nashik,Maharashtra,20.064624,73.659719,No,Yes,Yes,Yes,No,Yes,No,Yes,Poor,Good,Medium,Yes,Yes,Yes,Low,24,7939,3.4,2,19,2,Good,Partial,74.8,Average,Medium
LOC0085,Jaipur Government College,College,Jaipur,Rajasthan,26.86047,75.728944,Yes,No,No,Yes,No,No,Yes,Yes,Poor,Good,Low,Yes,Yes,No,Low,34,2142,3,1,14,1,NA,No,49.1,Poor,High
LOC0086,Visakhapatnam Bus Depot,Bus Stop,Visakhapatnam,Andhra Pradesh,17.593647,83.105678,No,No,No,No,No,Yes,No,No,Poor,Average,Medium,Yes,Yes,No,Medium,4,1175,3.4,3,2,1,NA,No,31.5,Poor,High
LOC0087,Guwahati Railway Station,Railway Station,Guwahati,Assam,26.264583,91.80391,No,No,No,No,No,No,No,No,Average,Poor,Low,No,Yes,Yes,Low,13,3108,3,2,11,2,NA,Partial,22.8,Poor,High
LOC0088,Kanpur Collectorate Office,Government Office,Kanpur,Uttar Pradesh,26.4971,80.397965,No,Yes,No,Yes,Yes,No,No,No,Poor,Poor,Medium,Yes,Yes,Yes,Medium,15,4056,3.6,4,8,3,Good,Yes,54.4,Poor,High
LOC0089,Thiruvananthapuram Central Station,Railway Station,Thiruvananthapuram,Kerala,8.525646,76.857052,Yes,No,Yes,No,No,Yes,No,No,Poor,Average,Medium,Yes,Yes,No,Medium,37,15694,4.4,1,18,3,NA,No,49.7,Poor,High
LOC0090,Chennai Municipal Office,Government Office,Chennai,Tamil Nadu,12.948698,80.402805,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Good,Average,High,Yes,Yes,Yes,Medium,15,2895,3.1,6,21,2,Poor,Partial,94.3,Excellent,Low
LOC0091,Delhi City Hospital,Hospital,Delhi,Delhi,28.667285,76.956219,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Average,Average,Low,Yes,Yes,Yes,Medium,29,2969,3.9,0,6,4,Good,Yes,87.8,Good,Medium
LOC0092,Bhopal Bus Depot,Bus Stop,Bhopal,Madhya Pradesh,23.33392,77.417572,Yes,Yes,No,No,Yes,No,No,No,Poor,Good,Low,No,Yes,No,Low,8,1308,3.9,1,20,1,Average,Partial,51.9,Poor,High
LOC0093,Delhi Junction,Railway Station,Delhi,Delhi,28.689427,77.073211,No,Yes,Yes,No,Yes,Yes,No,No,Average,Good,High,Yes,Yes,Yes,High,37,18183,3.6,6,5,1,Poor,No,63.2,Average,Medium
LOC0094,Thiruvananthapuram Central Station,Railway Station,Thiruvananthapuram,Kerala,8.637343,77.074479,No,No,Yes,No,No,Yes,Yes,Yes,Average,Average,Medium,Yes,Yes,Yes,Medium,37,7240,2.3,7,0,2,NA,No,50.3,Poor,High
LOC0095,Visakhapatnam General Hospital,Hospital,Visakhapatnam,Andhra Pradesh,17.662849,83.312675,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Poor,Good,Medium,Yes,Yes,No,Medium,15,2537,3.4,0,14,4,Average,Yes,78.1,Good,Medium
LOC0096,Nagpur City Centre Mall,Mall,Nagpur,Maharashtra,21.241151,79.161894,No,No,Yes,No,Yes,No,Yes,No,Good,Poor,Low,Yes,Yes,No,High,11,6045,4.1,1,22,7,NA,Yes,49.2,Poor,High
LOC0097,Udaipur Municipal Office,Government Office,Udaipur,Rajasthan,24.551759,73.806189,No,Yes,Yes,No,No,Yes,Yes,Yes,Poor,Good,Medium,No,Yes,Yes,Medium,37,2607,2.6,1,19,1,Average,Yes,66.2,Average,Medium
LOC0098,Delhi Collectorate Office,Government Office,Delhi,Delhi,28.821971,76.953312,No,Yes,Yes,No,Yes,No,No,No,Poor,Average,Low,Yes,No,Yes,Low,11,3984,1.9,0,22,1,Poor,No,31.4,Poor,High
LOC0099,Thane Multispeciality Hospital,Hospital,Thane,Maharashtra,19.332923,73.067355,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Poor,Good,Medium,Yes,No,No,High,10,3642,3.8,3,1,5,Good,Yes,80.8,Good,Medium
LOC0100,Thane Junction,Railway Station,Thane,Maharashtra,19.173723,72.89309,No,Yes,No,Yes,No,Yes,No,No,Good,Average,Medium,No,Yes,Yes,High,24,3163,2.7,3,13,3,Good,Yes,70.7,Average,Medium
LOC0101,Pune Multispeciality Hospital,Hospital,Pune,Maharashtra,18.632372,73.914752,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Average,Good,Medium,No,No,No,High,9,627,3.8,6,5,5,Average,Partial,77.9,Good,Medium
LOC0102,Lucknow Multispeciality Hospital,Hospital,Lucknow,Uttar Pradesh,26.770307,80.859028,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Average,Average,Medium,Yes,No,Yes,Medium,23,3578,4,0,9,4,Good,Yes,98.7,Excellent,Low
LOC0103,Lucknow City Bus Stop,Bus Stop,Lucknow,Uttar Pradesh,26.975913,80.807067,Yes,Yes,Yes,Yes,No,No,No,Yes,Average,Average,Medium,Yes,Yes,No,Low,13,1481,2.2,1,22,1,Poor,No,64.5,Average,Medium
LOC0104,Kanpur Bus Stand,Bus Stop,Kanpur,Uttar Pradesh,26.595909,80.208432,No,Yes,Yes,No,Yes,No,No,No,Average,Poor,High,No,Yes,No,Medium,5,771,3.6,1,16,1,Poor,Yes,55.6,Average,Low
LOC0105,Indore College of Engineering,College,Indore,Madhya Pradesh,22.869417,75.709945,Yes,No,No,No,No,No,No,Yes,Average,Average,High,Yes,No,Yes,Medium,27,3533,1.8,2,0,2,NA,Partial,55.8,Average,Low
LOC0106,Nagpur Degree College,College,Nagpur,Maharashtra,21.235305,79.225508,Yes,No,Yes,No,No,Yes,Yes,Yes,Poor,Good,Medium,Yes,No,No,Medium,24,4671,4,1,23,1,NA,Yes,68.8,Average,Medium
LOC0107,Kolkata Junction,Railway Station,Kolkata,West Bengal,22.461055,88.493078,No,No,No,No,No,Yes,Yes,No,Average,Good,Medium,Yes,Yes,Yes,High,42,16931,3.6,6,19,2,NA,Partial,49.1,Poor,High
LOC0108,Jaipur International Airport,Airport,Jaipur,Rajasthan,26.986103,75.662644,Yes,Yes,Yes,No,Yes,No,No,Yes,Good,Good,High,Yes,No,No,Medium,34,8959,2.6,0,4,3,Good,Yes,97.2,Excellent,Low
